utterance,speech_intent,es_speech_intent_detect_conf,nbr_calls,cx_intent,cx_score
space heater hours,Store Hours,0.78,298,Store Hours,0.68
my schedule,Store Details,0.83,236,Store Details,0.58
reschedule,Store Details,0.8,203,Store Details,0.58
lawnmower hours,Store Hours,0.85,148,Store Hours,0.75
shut up,Store Hours,0.8,129,Store Hours,0.54
portable generator hours,Store Hours,0.82,128,Store Hours,0.76
recycle light bulbs,Store Details,0.8,124,Store Details,0.75
light bulb recycling,Store Details,0.77,120,Store Details,0.72
electric heater hours,Store Hours,0.82,119,Store Hours,0.76
1 lb propane tank,Store Details,0.8,107,Store Details,0.81
closing,Store Hours,0.84,104,Store Hours,0.80
are ya'll open,Store Hours,0.85,97,Store Hours,0.88
recycling light bulbs,Store Details,0.78,92,Store Details,0.75
office hours,Store Hours,0.84,86,Store Hours,0.79
propane tank re Phil,Store Details,0.8,81,Store Details,0.79
tree recycling,Store Details,0.79,80,Store Details,0.73
20 lb propane tank,Store Details,0.8,78,Store Details,0.81
no blower hours,Store Hours,0.82,75,Store Hours,0.78
cutting,Store Details,0.84,66,Store Details,0.79
cut,Store Details,0.77,64,Store Details,0.79
Coleman propane tank,Store Details,0.76,63,Store Details,0.78
cut wood,Store Details,0.85,56,Store Details,0.81
Coleman propane,Store Details,0.84,51,Store Details,0.81
Lumber cutting,Store Details,0.84,51,Store Details,0.71
kids kit,Store Details,0.79,50,Store Details,0.71
working hours,Store Hours,0.84,47,Store Hours,0.73
store address,Store Address,0.78,41,Store Address,0.77
kids projects,Store Details,0.75,40,Store Details,0.63
cutting Center,Store Details,0.82,40,Store Details,0.70
1 lb propane tanks,Store Details,0.8,40,Store Details,0.81
small propane tanks,Store Details,0.83,39,Store Details,0.84
recycle fluorescent tubes,Store Details,0.85,38,Store Details,0.76
recycling program,Store Details,0.76,38,Store Details,0.73
small propane tank,Store Details,0.83,37,Store Details,0.84
cutting Lumber,Store Details,0.81,37,Store Details,0.70
Home Depot hours,Store Hours,0.83,37,Store Hours,0.85
Coleman propane tanks,Store Details,0.76,36,Store Details,0.78
recycle fluorescent light bulbs,Store Details,0.81,35,Store Details,0.74
kids project,Store Details,0.78,35,Store Details,0.71
missed Ur heater propane heater,Store Details,0.84,32,Store Details,0.77
a hundred pounds propane tank,Store Details,0.82,31,Store Details,0.78
storage container hours,Store Hours,0.78,30,Store Hours,0.69
cut Lumber,Store Details,0.77,29,Store Details,0.67
make a copy of a key,Store Details,0.85,29,Store Details,0.82
recycle bulbs,Store Details,0.81,28,Store Details,0.79
are you smelt,Store Address,0.8,27,Default Fallback,0.50
Raj door openers,Store Hours,0.85,26,Store Hours,0.85
fire extinguisher hours,Store Hours,0.85,26,Store Hours,0.76
propane tank refill,Store Details,0.85,26,Store Details,0.83
fluorescent bulb recycling,Store Details,0.83,26,Store Details,0.77
question about recycling,Store Details,0.84,25,Store Details,0.78
is your store open,Store Hours,0.82,25,Store Hours,0.91
paint recycling,Store Details,0.81,24,Store Details,0.76
are they open,Store Hours,0.81,24,Store Hours,0.90
cutting services,Store Details,0.83,24,Store Details,0.78
propane wall heater,Store Details,0.84,23,Store Details,0.80
40 lb propane tank,Store Details,0.82,23,Store Details,0.81
do you recycle fluorescent bulbs,Store Details,0.84,22,Store Details,0.79
exchange propane tank,Store Details,0.85,22,Store Details,0.80
recycle lights,Store Details,0.82,21,Store Details,0.70
are you open today January 1st,Store Hours,0.72,21,Store Hours,0.54
recycling fluorescent tubes,Store Details,0.84,21,Store Details,0.76
are yall open,Store Hours,0.85,20,Store Hours,0.93
recycling question,Store Details,0.78,20,Store Details,0.73
what's your address,Store Address,0.72,20,Store Address,0.55
is it open,Store Hours,0.83,19,Store Hours,0.90
refill propane tank,Store Details,0.83,19,Store Details,0.83
a hundred pound propane tank,Store Details,0.81,19,Store Details,0.79
ladder hours,Store Hours,0.84,19,Store Hours,0.80
to schedule,Store Details,0.81,19,Store Details,0.55
30 lb propane tank,Store Details,0.82,19,Store Details,0.81
children's Workshop,Store Details,0.73,19,Store Details,0.63
carpet cleaner hours,Store Hours,0.81,18,Store Hours,0.73
Appliance Recycling,Store Details,0.73,17,Store Details,0.67
cutting blinds,Store Details,0.81,17,Store Details,0.70
your location,Store Address,0.78,17,Store Address,0.77
recycling fluorescent light bulbs,Store Details,0.8,17,Store Details,0.74
100 lb propane tank,Store Details,0.79,17,Store Details,0.80
missed Ur heater propane,Store Details,0.84,16,Store Details,0.77
Workshop kit,Store Details,0.72,16,Store Details,0.84
are you still open,Store Hours,0.81,16,Store Hours,0.88
do you recycle light bulbs,Store Details,0.82,15,Store Details,0.76
recycling lights,Store Details,0.8,15,Store Details,0.72
what time does Home Depot close,Store Hours,0.83,15,Store Hours,0.81
hours of service,Store Hours,0.84,15,Store Hours,0.74
schedule change,Store Details,0.72,15,Post Sale Request,0.76
electronics recycling,Store Details,0.79,15,Store Details,0.69
100lb propane tank,Store Details,0.75,15,Store Details,0.75
oh shut up,Store Hours,0.82,15,Store Hours,0.58
if the store is open,Store Hours,0.75,15,Store Hours,0.88
recycle fluorescent lights,Store Details,0.81,14,Store Details,0.70
I need your address,Store Address,0.84,14,Store Address,0.75
recycle paint,Store Details,0.83,14,Store Details,0.77
Lumber cut,Store Details,0.79,14,Store Details,0.65
snow blower key,Store Details,0.85,14,Store Details,0.78
missed Ur Buddy propane heater,Store Details,0.82,14,Store Details,0.74
camping propane tanks,Store Details,0.79,14,Store Details,0.81
refill propane tanks,Store Details,0.83,14,Store Details,0.83
what's the store number,Store Details,0.74,14,Store Details,0.70
where is it located,Store Address,0.73,14,Default Fallback,0.76
tree recycle,Store Details,0.81,14,Store Details,0.73
key gravel,Store Details,0.84,14,Store Details,0.77
lighting fixture hours,Store Hours,0.85,14,Store Hours,0.73
times,Store Hours,0.78,14,Store Hours,0.75
cut plywood,Store Details,0.78,14,Store Details,0.67
details,Store Details,0.83,14,Store Details,0.62
kids crafts kit,Store Details,0.82,13,Store Details,0.76
do you recycle Christmas trees,Store Details,0.7,13,Store Details,0.62
20 gallon propane tank,Store Details,0.76,13,Store Details,0.79
kids workshop project,Store Details,0.85,13,Store Details,0.86
lock rekey,Store Details,0.79,13,Store Details,0.73
propane Phil,Store Details,0.85,13,Store Details,0.83
Phil propane tank,Store Details,0.77,13,Store Details,0.79
attic ladder hours,Store Hours,0.79,13,Store Hours,0.77
camping propane tank,Store Details,0.79,12,Store Details,0.81
Keith cutting,Store Details,0.73,12,Store Details,0.56
propane heater head,Store Details,0.85,12,Store Details,0.83
cardboard recycling,Store Details,0.8,12,Store Details,0.74
riding mower hours,Store Hours,0.8,12,Store Hours,0.69
for kids,Store Details,0.78,12,Store Details,0.75
store closing,Store Hours,0.78,12,Store Hours,0.87
hours of business,Store Hours,0.85,12,Store Hours,0.83
do you recycle fluorescent light bulbs,Store Details,0.83,12,Store Details,0.74
schedule a,Store Details,0.83,12,Store Details,0.57
cutting metal,Store Details,0.77,11,Store Details,0.61
schedule schedule,Store Details,0.81,11,Store Details,0.55
directions to store,Store Address,0.85,11,Store Address,0.86
the store is open,Store Address,0.76,11,Store Hours,0.89
it's Home Depot open today,Store Hours,0.83,11,Store Hours,0.76
step ladder hours,Store Hours,0.79,11,Store Hours,0.71
hours and location,Store Hours,0.85,11,Store Hours,0.77
cut blinds,Store Details,0.75,11,Store Details,0.64
Home Depot open,Store Hours,0.79,11,Store Hours,0.91
Garden Center hours,Store Hours,0.84,11,Store Hours,0.79
dresser hours,Store Hours,0.84,11,Store Hours,0.81
recycling bulbs,Store Details,0.79,11,Store Details,0.79
1 pound propane bottles,Store Details,0.85,10,Store Details,0.80
Kyle cutting,Store Details,0.83,10,Store Details,0.75
location of store,Store Address,0.84,10,Store Address,0.81
